ticket_id,data_abertura,canal,categoria,subcategoria,plano_usuario,prioridade,status,tempo_resolucao_horas,csat_nota,descricao_curta
T1202,2026-03-14,chat_app,Bug técnico,Valor investido diferente do extrato da B3,Free,critica,resolvido,11.7,4,Divergência de R$ 2.300 em ações. Escalado para Compliance.
T1243,2026-03-14,chat_app,Atendimento,Quero falar com um humano,Free,media,resolvido,0.5,2,Usuário frustrado com o chatbot.
T1143,2026-03-15,whatsapp,Onboarding,"Suitability me classificou como conservador, não concordo",Free,media,escalado,1.2,,Usuário alega que respondeu arrojado e saiu conservador.
T1167,2026-03-15,whatsapp,Dúvida de produto,O que é Tesouro IPCA+?,Free,baixa,resolvido,0.5,5,Dúvida conceitual.
T1190,2026-03-15,chat_app,Bug técnico,"Notificação push dizendo que aplicação venceu, mas não venceu",Free,media,escalado,1.8,,Push bugado em fev/26.
T1212,2026-03-15,telefone,Cancelamento / Churn,Como resgato tudo e cancelo?,Free,media,resolvido,2.8,1,Fluxo de resgate + fechamento de conta.
T1221,2026-03-15,chat_app,KYC / Compliance,"Não sou PEP, por que fui marcado como tal?",Free,alta,resolvido,8.3,5,Falso positivo no sistema de compliance.
T1223,2026-03-15,whatsapp,KYC / Compliance,Minha conta foi bloqueada sem aviso,Free,critica,resolvido,5.9,4,Bloqueio automático por alerta de risco.
T1185,2026-03-16,chat_app,Dúvida de cobrança,Fui cobrado R$29 mas não contratei Pro,Free,alta,em_atendimento,0.7,,Ativação automática no trial expirado. Comum.
T1188,2026-03-16,email,Dúvida de cobrança,Fui cobrado R$29 mas não contratei Pro,Free,alta,resolvido,1.0,3,Ativação automática no trial expirado. Comum.
T1206,2026-03-16,chat_app,Cancelamento / Churn,Como resgato tudo e cancelo?,Free,media,resolvido,2.7,3,Fluxo de resgate + fechamento de conta.
T1138,2026-03-17,email,Onboarding,Não entendo o que fazer depois de me cadastrar,Free,media,resolvido,1.8,2,Usuário cadastrou mas não sabe qual investimento escolher. Largou o app.
T1239,2026-03-17,chat_app,Atendimento,Ninguém responde meu chat,Pro,alta,resolvido,1.6,3,SLA estourado.
T1194,2026-03-18,chat_app,Bug técnico,App fecha sozinho quando abro a aba Investimentos,Pro,alta,em_atendimento,3.0,,Crash em iOS 16. Várias ocorrências.
T1209,2026-03-18,telefone,Cancelamento / Churn,Como resgato tudo e cancelo?,Free,media,resolvido,2.7,4,Fluxo de resgate + fechamento de conta.
T1198,2026-03-19,chat_app,Bug técnico,"Notificação push dizendo que aplicação venceu, mas não venceu",Free,media,em_atendimento,1.4,,Push bugado em fev/26.
T1213,2026-03-19,chat_app,Cancelamento / Churn,"Encerrem minha conta, perdi dinheiro aqui",Free,alta,resolvido,4.5,2,Usuário insatisfeito com rentabilidade.
T1218,2026-03-19,email,Cancelamento / Churn,"Não consegui falar com ninguém, vou cancelar",Free,alta,em_atendimento,5.5,,Churn por atendimento.
T1155,2026-03-20,email,Onboarding,"Suitability me classificou como conservador, não concordo",Free,media,em_atendimento,0.4,,Usuário alega que respondeu arrojado e saiu conservador.
T1171,2026-03-20,whatsapp,Dúvida de produto,Qual a diferença entre CDB e LCI?,Free,baixa,em_atendimento,0.3,,"Dúvida de produto básica, canal chat."
T1196,2026-03-20,chat_app,Bug técnico,"Notificação push dizendo que aplicação venceu, mas não venceu",Free,media,em_atendimento,0.7,,Push bugado em fev/26.
T1199,2026-03-20,whatsapp,Bug técnico,Saldo aparece negativo sem motivo,Free,critica,resolvido,2.5,2,"Bug visual, saldo real está correto mas tela mostra -R$ 150."
T1203,2026-03-20,chat_app,Cancelamento / Churn,Como resgato tudo e cancelo?,Free,media,resolvido,3.8,1,Fluxo de resgate + fechamento de conta.
T1222,2026-03-20,email,KYC / Compliance,Minha conta foi bloqueada sem aviso,Free,critica,em_atendimento,7.6,,Bloqueio automático por alerta de risco.
T1150,2026-03-21,email,Onboarding,Demora mais de 3 dias para aprovar conta,Free,alta,em_atendimento,46.3,,"Cadastro feito dia 10/fev, conta aprovada só dia 15."
T1156,2026-03-21,chat_app,Onboarding,Dados do Receita Federal não batem com meus,Free,alta,resolvido,13.4,3,Nome de casada x solteira. Bloqueio automático no KYC.
T1163,2026-03-21,chat_app,Onboarding,Não consigo fazer a primeira aplicação,Free,critica,resolvido,5.8,3,"App mostra erro genérico ""Tente mais tarde"" ao clicar em Investir."
T1172,2026-03-21,telefone,Dúvida de produto,O que é Tesouro IPCA+?,Free,baixa,resolvido,0.4,2,Dúvida conceitual.
T1187,2026-03-21,whatsapp,Dúvida de cobrança,Qual o preço do Pro anual?,Free,baixa,resolvido,0.3,4,Informação não está clara no app.
T1211,2026-03-21,chat_app,Cancelamento / Churn,"App é muito difícil, desisti",Free,media,resolvido,1.8,2,Feedback qualitativo importante.
T1217,2026-03-21,chat_app,Cancelamento / Churn,"Não consegui falar com ninguém, vou cancelar",Pro,alta,escalado,14.4,,Churn por atendimento.
T1231,2026-03-21,email,Saques / Depósitos,PIX de saque não caiu na minha conta,Free,critica,resolvido,3.1,3,Saque processado mas não recebido.
T1157,2026-03-22,chat_app,Onboarding,Não entendo o que fazer depois de me cadastrar,Free,media,resolvido,1.8,2,Usuário cadastrou mas não sabe qual investimento escolher. Largou o app.
T1179,2026-03-22,chat_app,Dúvida de produto,O que é Tesouro IPCA+?,Free,baixa,resolvido,0.2,4,Dúvida conceitual.
T1234,2026-03-22,chat_app,Saques / Depósitos,PIX de saque não caiu na minha conta,Free,critica,resolvido,4.0,3,Saque processado mas não recebido.
T1236,2026-03-22,email,Performance / Rentabilidade,Ações caíram 15% e vocês não avisaram,Pro,baixa,em_atendimento,0.8,,Expectativa equivocada.
T1136,2026-03-23,chat_app,Onboarding,App pede verificação facial mas câmera não abre,Free,alta,em_atendimento,3.8,,iPhone 12 com iOS 17. Câmera funciona em outros apps.
T1158,2026-03-23,chat_app,Onboarding,"Suitability me classificou como conservador, não concordo",Free,media,resolvido,0.9,4,Usuário alega que respondeu arrojado e saiu conservador.
T1161,2026-03-24,chat_app,Onboarding,Pediu PIX mas dinheiro não apareceu no app,Free,critica,resolvido,18.4,2,"PIX feito dia 05/mar R$ 500, app segue em R$ 0."
T1201,2026-03-24,email,Bug técnico,App fecha sozinho quando abro a aba Investimentos,Free,alta,escalado,11.1,,Crash em iOS 16. Várias ocorrências.
T1152,2026-03-25,email,Onboarding,Não recebo o SMS de confirmação,Free,alta,resolvido,2.0,2,"Usuário pediu reenvio 4x, operadora TIM, nunca chega."
T1180,2026-03-26,email,Dúvida de produto,Posso resgatar antes do vencimento?,Free,baixa,em_atendimento,0.3,,Sobre liquidez de renda fixa.
T1220,2026-03-26,chat_app,KYC / Compliance,Prova de vida rejeitada,Free,alta,em_atendimento,2.1,,Reconhecimento facial falhando.
T1237,2026-03-26,chat_app,Performance / Rentabilidade,Por que o FII está desvalorizando?,Free,baixa,resolvido,0.9,5,Educacional.
T1137,2026-03-27,whatsapp,Onboarding,App pede verificação facial mas câmera não abre,Free,alta,resolvido,4.8,2,iPhone 12 com iOS 17. Câmera funciona em outros apps.
T1141,2026-03-27,chat_app,Onboarding,Não entendo o que fazer depois de me cadastrar,Free,media,em_atendimento,1.3,,Usuário cadastrou mas não sabe qual investimento escolher. Largou o app.
T1170,2026-03-27,email,Dúvida de produto,Como declarar os investimentos no IR?,Free,media,escalado,3.9,,Pedido recorrente em mar/26 (mês do IR).
T1181,2026-03-27,telefone,Dúvida de cobrança,Como cancelo a assinatura Pro?,Free,media,resolvido,0.8,4,"Busca por Settings, não achou. UX ruim."
T1235,2026-03-27,email,Performance / Rentabilidade,Minha carteira rendeu menos que a poupança,Free,media,resolvido,2.2,1,Reclamação comum em mês ruim do mercado.
T1140,2026-03-28,chat_app,Onboarding,Não consigo fazer a primeira aplicação,Free,critica,resolvido,6.0,4,"App mostra erro genérico ""Tente mais tarde"" ao clicar em Investir."
T1142,2026-03-28,chat_app,Onboarding,Dados do Receita Federal não batem com meus,Free,alta,resolvido,8.0,4,Nome de casada x solteira. Bloqueio automático no KYC.
T1147,2026-03-28,telefone,Onboarding,Não recebo o SMS de confirmação,Free,alta,resolvido,1.5,1,"Usuário pediu reenvio 4x, operadora TIM, nunca chega."
T1149,2026-03-28,chat_app,Onboarding,Não recebo o SMS de confirmação,Free,alta,em_atendimento,2.6,,"Usuário pediu reenvio 4x, operadora TIM, nunca chega."
T1177,2026-03-28,chat_app,Dúvida de produto,Como funciona o Fundo Imobiliário?,Pro,baixa,resolvido,0.6,5,Iniciante querendo investir em FII.
T1182,2026-03-28,whatsapp,Dúvida de cobrança,Quero estornar cobrança do Pro,Pro,media,em_atendimento,1.8,,Usuário cancelou mas foi cobrado no ciclo seguinte.
T1228,2026-03-28,chat_app,KYC / Compliance,Comprovante de renda recusado,Free,media,escalado,11.4,,Holerite aceito normalmente em outros bancos.
T1233,2026-03-28,email,Saques / Depósitos,Não consigo sacar pelo app,Free,alta,em_atendimento,3.2,,Botão de sacar desabilitado sem explicação.
T1241,2026-03-28,chat_app,Atendimento,Bot não entendeu minha dúvida,Free,baixa,resolvido,0.3,3,Feedback de UX.
T1135,2026-03-29,email,Onboarding,Dados do Receita Federal não batem com meus,Free,alta,escalado,31.8,,Nome de casada x solteira. Bloqueio automático no KYC.
T1200,2026-03-30,chat_app,Bug técnico,"Notificação push dizendo que aplicação venceu, mas não venceu",Free,media,resolvido,1.0,3,Push bugado em fev/26.
T1146,2026-03-31,chat_app,Onboarding,Dados do Receita Federal não batem com meus,Free,alta,em_atendimento,8.0,,Nome de casada x solteira. Bloqueio automático no KYC.
T1168,2026-03-31,telefone,Dúvida de produto,Como declarar os investimentos no IR?,Free,media,resolvido,2.3,1,Pedido recorrente em mar/26 (mês do IR).
T1173,2026-03-31,chat_app,Dúvida de produto,Qual a diferença entre CDB e LCI?,Pro,baixa,resolvido,0.2,5,"Dúvida de produto básica, canal chat."
T1176,2026-03-31,whatsapp,Dúvida de produto,Como declarar os investimentos no IR?,Free,media,resolvido,1.3,4,Pedido recorrente em mar/26 (mês do IR).
T1224,2026-03-31,chat_app,KYC / Compliance,Preciso atualizar meus documentos,Free,media,resolvido,42.7,2,Renovação de KYC vencido.
